question,answer
What is the supreme law of the land?,The constitution
What does the Constitution do?,"Sets up the government; defines the government; protects the basic rights of americans"
The idea of self-government is in the first three words of the Constitution. What are these words?,We the people
What is an amendment?,a Change to the consitution; an addition to the constitution
What do we call the first ten amendments to the Constitution?,The Bill of Rights
What is one right or freedom from the First Amendment?,"Speech, Religion, Assembly, Petition the Government"
How many amendments does the Constitution have?,27
What did the Declaration of Independence do?,announced our independence from Great Britain; declared our independence from Great Britain; says that the United States is free from Great Britain
What are two rights in the Declaration of Independence?,"Life, Liberty and the Pursuit of Happiness"
What is freedom of religion?,"you can practice any religion you want, or not practice a religion"
What is the economic system in the United States?,Capitalist economy; market economy
"What is the ""rule of law""?",Everyone must follow the law; leaders must obey the law; government must obey the law; no one is above the law
Name one branch or part of the government.,"Congress; President; Courts; Executive; LEgislative, Juidicial"
What stops one branch of government from becoming too powerful?,Checks and balances; separation of powers
Who is in charge of the executive branch?,President
Who makes federal laws?,Congress; Senate and House of Representatives; US or national legislature
What are the two parts of the U.S. Congress?,The senate and house of representatives
How many U.S. Senators are there?,100
We elect a U.S. Senator for how many years?,Six
Who is one of your state's U.S. Senators now?,Dianne Feinstein; Alex Padilla
The House of Representatives has how many voting members?,435
We elect a U.S. Representative for how many years?,Two years
Name your U.S. Representative.,Mark Desaulnier
Who does a U.S. Senator represent?,All people of the state
Why do some states have more Representatives than other states?,Because of states population; because they had more people; because some states have more people
We elect a President for how many years?,Four years
In what month do we vote for President?,November
What is the name of the President of the United States now?,Joe Biden
What is the name of the Vice President of the United States now?,Kamala Harris
"If the President can no longer serve, who becomes President?",The vice president
"If both the President and the Vice President can no longer serve, who becomes President?",The speaker of the house
Who is the Commander in Chief of the military?,The president
Who signs bills to become laws?,The president
Who vetoes bills?,The president
What does the President's Cabinet do?,Advises the president
What are two Cabinet-level positions?,"Secretary of state, secretary of defense, secretary of energy, secretary of agriculture, secretary of education, secretary of health and human services, secretary of the Interior, Secretary of labor, secretary of transportation, secretary of Veterans Affairs, the Attorney General, the vice president"
What does the judicial branch do?,"Reviews laws, explains laws, resolves disputes, decide if a law goes against the constitution"
What is the highest court in the United States?,The supreme court
How many justices are on the Supreme Court?,Nine
Who is the Chief Justice of the United States now?,John Roberts
"Under our Constitution, some powers belong to the federal government. What is one power of the federal government?",to print money; to declare war; to create an army; to make treaties
"Under our Constitution, some powers belong to the states. What is one power of the states?","Provide schooling and education; provide protection police; provide safety, fire department; give a drivers license; approve, zoning, and land-use"
Who is the Governor of your state now?,Gavin Newson
What is the capital of your state?,Sacramento
What are the two major political parties in the United States?,Democratic and republican
What is the political party of the President now?,Democratic
What is the name of the Speaker of the House of Representatives now?,Kevin McCarthy
There are four amendments to the Constitution about who can vote. Describe one of them.,Anyone over 18 can vote you don't have to pay a poll tax to vote any citizen can vote a male citizen of any risk a
What is one responsibility that is only for United States citizens?,Serve on a jury vote in a federal election
Name one right only for United States citizens.,Vote in the federal election; run for federal office
What are two rights of everyone living in the United States?,"Expression, speech, assembly petition, the government religion, and the right to bear arms"
What do we show loyalty to when we say the Pledge of Allegiance?,"To the United States; the flag"
What is one promise you make when you become a United States citizen?,"Give up loyalty to other countries; defend the Constitution and laws of the United States; I'll be the laws of the United States; serve the US military, if needed; serve, or do important work for the nation, if needed; be loyal to the United States"
How old do citizens have to be to vote for President?,18 or older
What are two ways that Americans can participate in their democracy?,"Vote, China, political party; help with the campaign; China, civic group; trying to community group; given lecture official your opinion on an issue; call senators and representatives; publicly support propose an issue, a policy; run for office; right to newspaper"
When is the last day you can send in federal income tax forms?,April 15
When must all men register for the Selective Service?,"At age 18, or between 18 and 26"
What is one reason colonists came to America?,Freedom; political liberties; religious freedom; economic opportunity; practice their religion; escape persecution
Who lived in America before the Europeans arrived?,American Indians; Native Americans
What group of people was taken to America and sold as slaves?,African; people from Africa
Why did the colonists fight the British?,"Because of high taxes, taxation without representation; because the British army stayed in the house is pouring quartering; because they didn't have cell comment"
Who wrote the Declaration of Independence?,Thomas Jefferson
When was the Declaration of Independence adopted?,"July 4, 1776"
There were 13 original states. Name three.,"New Hampshire, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvania, Delaware, Maryland, Virginia, North Carolina, South Carolina, Georgia"
What happened at the Constitutional Convention?,Call Steve she was written; the founding fathers wrote the constitution
When was the Constitution written?,1787
The Federalist Papers supported the passage of the U.S. Constitution. Name one of the writers.,"James Madison, Alexander Hamilton, John, J, and Publius"
What is one thing Benjamin Franklin is famous for?,"What's diplomat; oldest member of the constitutional convention; first postmaster general, United States, semicolon, writer of poor Richards, almanac; start the first deliveries"
"Who is the ""Father of Our Country""?",George Washington
Who was the first President?,George Washington
What territory did the United States buy from France in 1803?,Louisiana
Name one war fought by the United States in the 1800s.,"War of 1812 Civil War Mexican, American war, Spanish war"
Name the U.S. war between the North and the South.,Civil War; the war between the states
Name one problem that led to the Civil War.,Slavery; economic reasons; states rights
